"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"H10_1_M.s10872","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s17372","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s1290","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s20061","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s10776","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s18952","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s30008","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s28905","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s12064","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s6736","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s100440","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s100662","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s103169","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s104221","Bacteria",NA,NA,NA,NA,NA,NA
"H6_1_M.s25931","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s15401","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s102556","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s36131","Bacteria",NA,NA,NA,NA,NA,NA
"H13_3_M.s38289","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s10025","Bacteria",NA,NA,NA,NA,NA,NA
"H17_2_T.s1545","Bacteria",NA,NA,NA,NA,NA,NA
"H13_3_M.s2696","Bacteria",NA,NA,NA,NA,NA,NA
"H19_2_T.s25","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s10363","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s100142","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T.s10801","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s104302","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s18422","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_T.s11259","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s13695","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s11006","Bacteria",NA,NA,NA,NA,NA,NA
"H19_1_T.s58","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_T.s37771","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s10012","Bacteria",NA,NA,NA,NA,NA,NA
"H19_3_T.s33","Bacteria",NA,NA,NA,NA,NA,NA
"H13_3_M.s16083","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s25463","Bacteria",NA,NA,NA,NA,NA,NA
"H18_1_M.s40642","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_M.s27","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_T.s53034","Bacteria",NA,NA,NA,NA,NA,NA
"H15_2_T.s745","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s45350","Bacteria",NA,NA,NA,NA,NA,NA
"H15_2_M.s3343","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s24706","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_T.s38213","Bacteria",NA,NA,NA,NA,NA,NA
"H2_2_M.s11092","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_M.s10216","Bacteria",NA,NA,NA,NA,NA,NA
"H12_1_T.s1046","Bacteria",NA,NA,NA,NA,NA,NA
"H16_3_T.s10429","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_T.s12638","Bacteria",NA,NA,NA,NA,NA,NA
"H8_1_T.s67","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T_2.s11434","Bacteria",NA,NA,NA,NA,NA,NA
"H19_1_T.s3254","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s92682","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s56682","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_M.s5540","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_M.s35095","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s36684","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s102131","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s29805","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s10516","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s43786","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s10330","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s27061","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s16807","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s120734","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s9977","Bacteria",NA,NA,NA,NA,NA,NA
"H18_3_T.s1663","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s41408","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s27401","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s15366","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s29332","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s16508","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s33777","Bacteria",NA,NA,NA,NA,NA,NA
"H1_2_T.s29340","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s24785","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s36443","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s35615","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s26068","Bacteria",NA,NA,NA,NA,NA,NA
"H3_1_T.s13689","Bacteria",NA,NA,NA,NA,NA,NA
"H19_2_T.s1","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s118298","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s123947","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T.s47548","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T.s41246","Bacteria",NA,NA,NA,NA,NA,NA
"H2_3_T.s35818","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s1795","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_M.s10506","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s28915","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s46489","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s33877","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s28018","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s103311","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s1386","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s18155","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s20746","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s10578","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s38317","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s4253","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s10712","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s41636","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s4390","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s1894","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_T.s1311","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s20933","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s22970","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s15295","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s11739","Bacteria",NA,NA,NA,NA,NA,NA
"H2_2_T.s36651","Bacteria",NA,NA,NA,NA,NA,NA
"H3_3_T.s8733","Bacteria",NA,NA,NA,NA,NA,NA
"H3_3_T.s27241","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_T.s20781","Bacteria",NA,NA,NA,NA,NA,NA
"H13_3_M.s11470","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s8154","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s110050","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s19194","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s102867","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s108031","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s13954","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s68946","Bacteria",NA,NA,NA,NA,NA,NA
"H17_1_T.s64971","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s16077","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s3905","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s2998","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s9431","Bacteria",NA,NA,NA,NA,NA,NA
"H19_2_M.s29830","Bacteria",NA,NA,NA,NA,NA,NA
"H4_3_M.s473","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_M.s33580","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s16166","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s20317","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_M.s103624","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s14743","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s12392","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_M.s160","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s35926","Bacteria",NA,NA,NA,NA,NA,NA
"H19_1_M.s10722","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_M.s23156","Bacteria",NA,NA,NA,NA,NA,NA
"H19_2_M.s25941","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s29519","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s20889","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s104591","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s8264","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s25276","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s74795","Bacteria",NA,NA,NA,NA,NA,NA
"H12_1_M.s14917","Bacteria",NA,NA,NA,NA,NA,NA
"H1_1_M.s60073","Bacteria",NA,NA,NA,NA,NA,NA
"H1_3_M.s1","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s15748","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s10272","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s17250","Bacteria",NA,NA,NA,NA,NA,NA
"H12_2_T.s1003","Bacteria",NA,NA,NA,NA,NA,NA
"H14_3_M.s1078","Bacteria",NA,NA,NA,NA,NA,NA
"H5_1_M.s12860","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s102435","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s69549","Bacteria",NA,NA,NA,NA,NA,NA
"H17_2_T.s28197","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s115695","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s1508","Bacteria",NA,NA,NA,NA,NA,NA
"H16_2_M.s34371","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s35434","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s44576","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s55647","Bacteria",NA,NA,NA,NA,NA,NA
"H16_2_M.s18484","Bacteria",NA,NA,NA,NA,NA,NA
"H2_3_M.s168","Bacteria",NA,NA,NA,NA,NA,NA
"H2_3_M.s948","Bacteria",NA,NA,NA,NA,NA,NA
"H7_1_M.s23631","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s11722","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s103469","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s14607","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s20","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s31102","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s36842","Bacteria",NA,NA,NA,NA,NA,NA
"H19_3_T.s13273","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s68104","Bacteria",NA,NA,NA,NA,NA,NA
"H16_1_T.s56785","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s40714","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s4099","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_T.s21370","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_T.s54583","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s13969","Bacteria",NA,NA,NA,NA,NA,NA
"H16_3_M.s14552","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s5626","Bacteria",NA,NA,NA,NA,NA,NA
"H2_2_T.s30879","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s42812","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s18840","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s822","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s25699","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T_2.s34644","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s21437","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s3587","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_T.s1222","Bacteria",NA,NA,NA,NA,NA,NA
"H13_3_T.s15239","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s101017","Bacteria",NA,NA,NA,NA,NA,NA
"H16_2_M.s16023","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_T.s10847","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s16101","Bacteria",NA,NA,NA,NA,NA,NA
"H16_3_M.s24638","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s10688","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s10181","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s11178","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s65393","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s5644","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_M.s18714","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_T.s7145","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T.s31179","Bacteria",NA,NA,NA,NA,NA,NA
"H3_1_T.s12292","Bacteria",NA,NA,NA,NA,NA,NA
"H1_2_M.s11039","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s16932","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s34198","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s3467","Bacteria",NA,NA,NA,NA,NA,NA
"H17_3_T.s6992","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s27246","Bacteria",NA,NA,NA,NA,NA,NA
"H12_2_M.s11927","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_T.s3274","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_T.s10385","Bacteria",NA,NA,NA,NA,NA,NA
"H19_3_T.s27718","Bacteria",NA,NA,NA,NA,NA,NA
"H11_3_T.s22565","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s20455","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s10150","Bacteria",NA,NA,NA,NA,NA,NA
"H16_2_M.s9835","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s21810","Bacteria",NA,NA,NA,NA,NA,NA
"H11_2_T.s18956","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s22675","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s45834","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s6873","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_M.s12073","Bacteria",NA,NA,NA,NA,NA,NA
"H9_3_T.s63","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s103994","Bacteria",NA,NA,NA,NA,NA,NA
"H15_1_M.s16861","Bacteria",NA,NA,NA,NA,NA,NA
"H12_2_M.s14823","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_M.s11351","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s14375","Bacteria",NA,NA,NA,NA,NA,NA
"H10_3_T.s25993","Bacteria",NA,NA,NA,NA,NA,NA
"H11_1_T.s10828","Bacteria",NA,NA,NA,NA,NA,NA
"H12_3_M.s12401","Bacteria",NA,NA,NA,NA,NA,NA
"H19_3_M.s18008","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s23538","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s9174","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_M.s16351","Bacteria",NA,NA,NA,NA,NA,NA
"H17_3_M.s53274","Bacteria",NA,NA,NA,NA,NA,NA
"H13_2_T.s94895","Bacteria",NA,NA,NA,NA,NA,NA
"H17_3_M.s15306","Bacteria",NA,NA,NA,NA,NA,NA
"H13_1_M.s24968","Bacteria",NA,NA,NA,NA,NA,NA
"H2_2_T.s14962","Bacteria",NA,NA,NA,NA,NA,NA
"H10_2_T.s14695","Bacteria",NA,NA,NA,NA,NA,NA
"H17_2_M.s171","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s22524","Bacteria",NA,NA,NA,NA,NA,NA
"H17_1_T.s33579","Bacteria",NA,NA,NA,NA,NA,NA
"H2_2_T.s13026","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s19924","Bacteria",NA,NA,NA,NA,NA,NA
"H10_1_M.s1928","Bacteria",NA,NA,NA,NA,NA,NA
"H18_2_T_2.s16263","Bacteria",NA,NA,NA,NA,NA,NA
